id,title,speakers,description,link
13,Application Insights,"Seth Juarez, Merav Davidson, A.S. Sivakumar","<p>Application Insights&nbsp;</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3e6161040a454ca2b63aa5da01579c86"" />",https://s.ch9.ms/Events/Build/2016/App-Insights-and-HockeyApp
14,Field: Brazil Recap,Marlon Luz,"<p>Field: Brazil Recap</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:df5916c125324452bb2da5da015419b0"" />",https://s.ch9.ms/Events/Build/2016/Field-Brazil-Recap
15,International Space Station Project,"John Shewchuk, Steven Guggenheimer","<p>International Space Station Project</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0da95ba60bec46b589cfa5da014aaa78"" />",https://s.ch9.ms/Events/Build/2016/GS102
16,Build Keynote Review with Guggs and Shewchuck,"John Shewchuk, Seth Juarez, Steven Guggenheimer","<p>Keynote Review</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0c81a7b092f6460097bba5da013603da"" />",https://s.ch9.ms/Events/Build/2016/GS101
17,Docker Tooling for Visual Studio and ASP.NET Core,"Michael Friis, Steve Lasker, Dan Fernandez, Patrick Chanezon","<p>Docker Tooling for Visual Studio and ASP.NET Core</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e6e050960ff647e68a0ea5da01372846"" />",https://s.ch9.ms/Events/Build/2016/Docker-Tooling-for-Visual-Studio-and-ASPNET-Core
18,Building Scalable and Performant Apps using Linux and OSS on Microsoft Azure,Madhan Arumugam,"Given prior history, Microsoft, Linux and OSS are not the terms you see often together in one sentence but the times have changed. In this session we will show how the new Microsoft is changing this perception and why Microsoft Azure is a great place to build and run your Linux and OSS apps and workloads. We will outline our strategy and showcase some of the patterns and practices for building great apps using Linux and OSS on Microsoft Azure. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:efd3e6d51a46400eb726a5da00c4727c"" />",https://s.ch9.ms/Events/Build/2016/P583
19,Introduction to Azure Table Storage,Gus Apostol,"Azure Table storage offers highly available, massively scalable storage so that your application can automatically scale to meet user demand. Azure Table Storage is Microsoft?? NoSQL key/attribute store ??it has a schema-less design, making it different from traditional relational databases. With a schema-less data store, it's easy to adapt your data as the needs of your application evolve. Azure Table Storage is easy to use, so developers can create applications quickly. We will present introductory design concepts and demonstration to get the best out of the Azure Table Storage service. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:faccd66fdbff4e908ba9a5da00c47255"" />",https://s.ch9.ms/Events/Build/2016/P582
20,Continuous Testing in Team Services,Gopinath Chigakkari,"Want to offload your Testing? In the new DevOps world it is important to ship products faster with great quality, VSTS has tools to setup DevOps pipeline to achieve these goals. As part of the pipeline, you can configure testing in both Continuous Integration and Continuous Delivery workflows. VSTS supports testing any kind of application (.NET, Java, JavaScript, Android, iOS) with any test framework and provides actionable test results. In this session you can learn about how to configure Continuous Testing in CI/CD workflow. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:62afaa4b5b854725b91aa5da00c4724e"" />",https://s.ch9.ms/Events/Build/2016/P581
21,Iterating and Experimenting with Azure App Service,Brady Gaster,"<img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:b9438cc239f9449ab99ba5da00c47247"" />",https://s.ch9.ms/Events/Build/2016/P580
22,Moving to the Cloud,"Narayan Annamalai, Siva Edupuganti","Benefits of moving your applications to cloud. Realize the simplicity &amp; flexibility of managing your infrastructure. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5f28de11c52f4d2489e2a5da00c4720e"" />",https://s.ch9.ms/Events/Build/2016/P576
