id,title,speakers,description,link
51,"HockeyApp for UWP Apps: Beta Distribution, Crash Reporting and User Metrics",Simina Pasat,"In this video, you will learn how HockeyApp can help you in delivering and maintaining successful UWP apps. First, you will learn how to use HockeyApp to beta distribute your UWP app to testers. Then, you will find out how to get meaningful crash reports for your UWP apps in development, as well as for apps already published to the Store. HockeyApp also provides you with basic user metrics and custom events telemetry to help you understanding the adoption of your app and features. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e3bf3cda96cc4a9face6a5da00c470ae"" />",https://s.ch9.ms/Events/Build/2016/P463
52,Managing Secrets for Azure Apps,Sumedh Barde,"Every serious app you deploy on Azure has critical secrets ??connection strings, certificates, keys. Silly mistakes in managing these lead to fatal consequences ??leaks, outages, compliance violations. As multiple recent surveys point out, silly mistakes cause 4 times more data breaches than adversaries. In this session we will go over some best practices to manage your important app secrets. These may seem like common sense, yet a lot of developers neglect them. We will also go over how to leverage Azure Key Vault to implement those best practices. As an added benefit, following these practices will also help you demonstrate compliance with standards such as SOC. The first ten minutes of the session are level 100 and they apply to any cloud app you develop on any platform. The remainder is level 200-300 and focuses on apps you build on the Azure platform. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e5d0cfb0bb104e499baaa5da00c470a6"" />",https://s.ch9.ms/Events/Build/2016/P456
53,Azure Monitoring & Diagnostics: Gain Deep Insights + Take Intelligent Actions,Ashwin Kamath,"Join us to learn more about Azure Monitoring services and the new features introduced at Build 2016, allowing you to gain deeper insights into the state and health of your Azure resources as well as the capabilities to take automated actions on the data. The talk will include new features for Alerts, Autoscale and Audit Logs <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:aa85de0bbfd6495ba71da5da00c4709d"" />",https://s.ch9.ms/Events/Build/2016/P437
54,Developing Custom Visuals for Power BI??Deep Dive,Lukasz Pawlowski,"Power BI Custom visuals enable you to create magical data experiences tailored to your user and your applications. We will work through everything you need to know to build quality custom visuals quickly. This deep dive (yes coding on stage!) will give you the tips and tricks you need to ensure your visuals run great, with high quality. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e2ac3aba00944f008340a5da00c4706d"" />",https://s.ch9.ms/Events/Build/2016/P434
55,Cortana Analytics Suite and Information Management,Matthew Roche,"Cortana Analytics Suite is a fully managed big data and advanced analytics suite that transforms your data into intelligent action. It includes information management, data storage, analytics and visualization capabilities along with APIs such as text analytics, facial recognition and others. This demo-driven session will show you how to manage all your on-premises and cloud data to ingest, prepare, transform, analyze, publish, and monitor information at scale as easily deployable and customizable solutions. Learn about the tools to enhance your applications with machine intelligence to evolve from simple descriptive analytics to prescriptive recommendations. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:11fc52af83b74f43beeba5da00c4703c"" />",https://s.ch9.ms/Events/Build/2016/P429
56,What's New with C++ Cross-Platform for Visual Studio 2015 U2,Ankit Asthana,"Visual Studio 2015 provides the best in class C&#43;&#43; development experience whether you are targeting Windows, Android, iOS, Linux or IoT. With a good mix of demos and showcase for new C&#43;&#43; experiences, this talk goes over six great reasons why you should migrate to Visual Studio 2015 today. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:31070012290a4aa0a492a5da00c47032"" />",https://s.ch9.ms/Events/Build/2016/P424
57,Building Intelligent Applications Using the Cortana Analytics Process,"Wee Hyong Tok, Gopi Kumar","Learn how the Cortana Analytics Process empowers you with a systematic approach to understand your raw data, and transform it into actions you can embed in intelligent applications. We will walk through the Cortana Analytics Process using a real-life large publicly available New York City (NYC) Taxi dataset that consists of 1.1 billion NYC taxi rides taken from January 2009 to June 2015. You will learn how to use JuPyter notebooks to explore the data to derive insights and use Azure Machine Learning to create predictive models that can power intelligent applications. You will learn how to operationalize your model as a web service, and integrate it with an application. Using these process and the walkthroughs you can gain the skills to design, build and operationalize you own intelligent solutions powered by Cortana Analytics Suite using an iterative and methodical approach. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ffe9d91ecafb481e8003a5da00c47020"" />",https://s.ch9.ms/Events/Build/2016/P421
58,Azure Data Lake Deep Dive,Saveen Reddy,"<img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:03b675d80e09447bb6b4a5da00c46fcf"" />",https://s.ch9.ms/Events/Build/2016/P413
59,Field: Italy Recap,"Roberto Andreoli, Raffaele Rialdi, Maurizio Pesce, Alberto Magnani","<p>Field: Italy Recap</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:4eca596680554baeaa8da5da000dd4a2"" />",https://s.ch9.ms/Events/Build/2016/Field-Italy-Recap
60,Field: Japan Recap Part 2,Akira Inoue,"<p>Field: Japan Recap Part 2</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cf9997677b1e41d98d4da5da000904fe"" />",https://s.ch9.ms/Events/Build/2016/Field-Japan-Recap-Part-2
61,Field: Japan Recap Part 1,Akira Inoue,"<p>Field: Japan Recap Part 1</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3c5c1515d1b9444f9beaa5da0007defa"" />",https://s.ch9.ms/Events/Build/2016/Field-Japan-Recap-Part-1
62,Panel: Engineering Quality,"Charles Torre, Yosef Durr, Jonathan Lipps","<p>Jonathan Lipps, Director of Engineering&nbsp;at Sauce Labs, joins Yosef Durr, Program Manager of the Windows Application Driver project, and&nbsp;Charles to discuss Appium support on Windows.</p><p>Windows Application Driver: <a href=""https://github.com/microsoft/winappdriver"">https://github.com/microsoft/winappdriver</a></p><p>Appium:<a href=""http://appium.io/"">http://appium.io/</a></p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:b4d92fad6e494963901ba5da0005a8b1"" />",https://s.ch9.ms/Events/Build/2016/Panel-Engineering-Quality
63,C++ Discussion,"Marian Luparu, Charles Torre, Ankit Asthana","<p>Marian Luparu and Ankit Asthana discuss reasons to move existing C&#43;&#43; code to Visual Studio 2015 and dig into the new C&#43;&#43; extension for Visual Studio Code.</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:84d5ee52cc3c48b782b6a5da0004e1b1"" />",https://s.ch9.ms/Events/Build/2016/C-Discussion
64,NPR Xbox UWP,Ben Schein,"<p>NPR Xbox UWP</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:39f8c3e15b7a4fafbb5ba5d9014f3faa"" />",https://s.ch9.ms/Events/Build/2016/NPR-Xbox-UWP
65,Field: Belgium Recap,"Nick Trogh, Peter Maynard","<p>Field: Belgium Recap</p> <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:dee4512bfa5847f19f69a5d90150428c"" />",https://s.ch9.ms/Events/Build/2016/Field-Belgium-Recap
66,Microsoft Translator: Speech Translation Made Easy,Chris Wendt,"<img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:b1a94ed26c16414eacc3a5d900c2a64c"" />",https://s.ch9.ms/Events/Build/2016/P577
67,Windows SDK for Facebook,Anand Lakshminarayan,"The Windows SDK for Facebook is an open source implementation of Facebook?? Graph API that allows developers to integrate Facebook login/social features into their UWP apps. Through this presentation and demo video, understand how to set up an app with Facebook Login, utilize the Dialogs to Share to the user?? timeline, and make Graph API requests with the SDK. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8dc56b828e224d428a1ba5d900c2a642"" />",https://s.ch9.ms/Events/Build/2016/P544
68,Windows 10 Apps: Designing for Global Customers,"Cameron Lerum, Stephanie Smith","Take your Windows 10 UWP app to the four corners of the globe using Visual Studio 2015 &#43; Multilingual App Toolkit. Integrated localization workflow makes reaching the next 1 billion customer just a few clicks away - allow you to focus on delivering great features. This session will cover the steps and tooling necessary to localization to your Windows 10 apps to reach your target audience. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:cf02010a19dd49918c4da5d900c2a635"" />",https://s.ch9.ms/Events/Build/2016/P543
69,Windows Calls Applications,"Bayo Olatunji, Sage Schreiner","Introduction to creating a dialing application using Windows 10 public calling APIs, and a walkthrough of the Github sample app. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0e0a92cb61e240d08ffaa5d900c2a62c"" />",https://s.ch9.ms/Events/Build/2016/P542
70,Accessibility on Windows 10,Mariah Dunn,"Learn the main design principles for building accessible apps including, common control usage, keyboard accessibility, programmatic accessibility and respecting the user settings, as well as some accessibility solutions on Windows 10 including Narrator, High Contrast, Magnifier, Windows Speech Recognition and Closed Captions. This is an introduction to accessibility concepts for developers on Windows. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:10cb9fd715fd43d6a409a5d900c2a617"" />",https://s.ch9.ms/Events/Build/2016/P541
71,What?? New with Bing APIs v5,Ryan Becker,"Get the power of Bing.com, available to you as an API!&nbsp;Learn about the new features provided with the offering and how to take advanantage of the capabilities to light up your own scenarios. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:1bed80b4b5294d38a7f1a5d900c2a60b"" />",https://s.ch9.ms/Events/Build/2016/P540
72,U-SQL in Azure Data Lake ??HyperScale Data Processing for the .NET Developer,Michael Rys,"SQL and .NET has been a favorite language for developers and DBAs for decades. However over the last couple of years, data processing is increasingly moving towards Big Data processing and is posing some new demands on not just scalability but also the ability to query late-structured data with custom algorithms. The new Azure Data Lake Analytics is introducing a new SQL-based language called U-SQL that combines the familiarity of SQL with new extensions for Big Data processing and easier user-extensibility. This session shows how to build big data solutions with U-SQL. You will learn how to integrate C# and .NET code to extend the power of U-SQL with C# Expressions. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:967fae959c1146a2956ea5d900c2a5f5"" />",https://s.ch9.ms/Events/Build/2016/P536
73,Spatial Data Management and Visualization with Bing Maps,Johannes Kebeck,"With ever increasing amounts of connected &quot;things&quot; and volumes of data, visual representations are often key to decode the meaning behind the data and make better informed decision. The geospatial and temporal contexts provide us with additional dimensions to pivot and understand the data. In this session we have a quick look at Microsoft products and services that make spatial not special before we dive into new features in Bing Maps and Spatial Data Services that allow us to manage and visualize geospatial data in the Microsoft Cloud and make them accessible across devices. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ab437d01310243568941a5d900c2a5da"" />",https://s.ch9.ms/Events/Build/2016/P529
74,Spatial Audio with AudioGraph in UWP,Steven Wilssens,"In the next release of Windows, we will bring spatial audio to UWP developers. Xbox, Windows Desktop, HoloLens, and Windows Mobile app developers will be able to add Spatial Audio to their UWP applications either directly from their app or through a Unity plugin. During this session you will learn how the AudioGraph API works, how you can add Spatial Audio to your app, game, or experience. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:973d13e0ee644dacb228a5d900c2a5ba"" />",https://s.ch9.ms/Events/Build/2016/P527
75,"TracePoints, a Better Way to console.log",Andy Sterland,"In this talk we??l look at using the F12 Edge Dev Tools to instrument code just like you would with console.log but without having to redeploy your site. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6d35906ffcfd4ea79348a5d900c2a5a6"" />",https://s.ch9.ms/Events/Build/2016/P518
76,Debugging Events in Edge,Andy Sterland,"In this talk we??l look at how you can be more productive debugging events with the F12 Edge Dev Tools. Specifically, we??l be looking at setting breakpoints on events, tracing them and figuring out which events are hooked up to an element. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:fc0dbd8ad2224bd3844da5d900c2a59e"" />",https://s.ch9.ms/Events/Build/2016/P517
77,Tips for Working with CSS in the Edge Dev Tools,Andy Sterland,"In this talk we??l look at some features in the F12 Edge Dev Tools that will make working with CSS that little bit easier. Specifically we??l be looking at the track changes and CSS editing features in the dev tools. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:f1bac7fc3f5543afbf18a5d900c2a596"" />",https://s.ch9.ms/Events/Build/2016/P515
78,Windows Hello in Microsoft Edge,Anoosh Saboori,"Windows Hello already offers Windows 10 users a secure password alternative for accessing business networks, apps, and SaS applications and now we??e adding new support that will enable users to use Windows Hello for passwordless sign-in to their favorite websites using Microsoft Edge. Come join us to learn how to update your website to support strong authentication and passwordless authentication using Windows Hello. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:8d9e38c1df5e41b48b8ca5d900c2a58a"" />",https://s.ch9.ms/Events/Build/2016/P514
79,"Improving JavaScript Frameworks, Edge, & UWP Web Apps",John-David Dalton,"Get an inside look at how the Edge team prevents regressions in, and expands support of, JavaScript frameworks in the browser and UWP web apps. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:5a163efa2a5740e1b2eda5d900c2a581"" />",https://s.ch9.ms/Events/Build/2016/P513
80,User Segmentation and Targeted Push Notifications for UWP Apps,Yamil Hernandez,"Engaging with your user base at the right time and with the appropriate message is key to your success as an app developer. Windows Dev Center provides a data-driven customer engagement platform that UWP app developers can leverage to create segments of customers, share relevant information using push notifications and measure the effectiveness of your communications. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0c2d7016aba749948d7ba5d900c2a575"" />",https://s.ch9.ms/Events/Build/2016/P512
81,Promote Your App: New Tools to Grow Audience for Your App,Kiran Bangalore,"Acquiring customers for your app can be a challenge. Microsoft provides a &quot;Promote your app&quot; service that will allow you to attract customers using free or paid campaigns. The video shows how simple it is to create a campaign and optimize for acquisitions, and demonstrates two new ways of acquiring customers: community ad campaigns and re-engagement ad campaigns. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:36c4ee22aaee4390a7f1a5d900c2a56c"" />",https://s.ch9.ms/Events/Build/2016/P511
82,A/B Testing for UWP Apps: Experiment for Success,Jason Watson (WEB),"Have you ever wondered if modifying in-app offer descriptions or ad placements in your app would boost conversions? Or whether modifying the difficulty in a particular game level might boost user engagement and retention? You can test these hypotheses, and many more, with A/B Testing for Apps. Learn how to run experiments in your Windows Store apps from Dev Center, using our new SDK. Also see how you can switch your audience to a winning app variation from Dev Center in two clicks, without republishing your app. Making a great app is your first step in achieving success: experimentation helps you make data-driven decisions for evolving your app to continually engage your audience and achieve long-term success. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:e1b722526d3e4085b49fa5d900c2a564"" />",https://s.ch9.ms/Events/Build/2016/P510
83,Advanced Multi-User Capabilities in Dev Center,Victor Soto,"This presentation covers the capabilities that allow multiple users to access a Dev Center account to manage apps and collaborate. Learn how to create and link an Azure AD from Dev Center, and how to manage access control - From a basic model all the way to the new advanced mode with app-level granularity. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:89fb27c8787246ab9fcea5d900c2a558"" />",https://s.ch9.ms/Events/Build/2016/P509
84,Customizing Your Device Experience with Assigned Access,Lily Hou,"For corporate owned devices, there is often a need to restrict the experience to one or more Line of Business applications, creating a curated lockdown experience such as a kiosk or a specialized task oriented device. This session will discuss how you can leverage assigned access to create a single application kiosk experience on desktop as well as a role-based experience for task worker scenarios on Windows Mobile. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:163b117649a74a11acc7a5d900c2a54c"" />",https://s.ch9.ms/Events/Build/2016/P508
85,Protecting Premium Video in Windows with PlayReady,Timothy Rule,"PlayReady is a popular technology for securing video and music services. With Windows 10 a new version of PlayReady adds features requested by premium video services to support hardware security. Also, with Windows 10 the PlayReady APIs are now part of the Windows Runtime for Universal Apps. Browsers such as Edge utilize PlayReady for secure video playback and web developers can access it via standards based Encrypted Media Extensions. Learn about basics of the technology, the new features, different use cases, and how to start building premium video applications with PlayReady digital rights management. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0870a0e47c9e4658b091a5d900c2a541"" />",https://s.ch9.ms/Events/Build/2016/P507
86,App Discovery in the Windows Store,Morgan McLean,"Attract more customers in the Store by making your apps more visible and enticing. Learn about how you can improve the appearance of your products in the Store and how this impacts discovery through search, suggestions, and recommendations. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6c16b6a88d27487e9908a5d900c2a51f"" />",https://s.ch9.ms/Events/Build/2016/P506
87,Windows Store Analytics APIs: New Ways to Get Your Hands on Your Data,Stuart Hargreaves,"Windows Dev Center offers a wide range of options for accessing your app's analytics data. With the new Windows Store analytics API, you now have programmatic access to this data, including advanced querying, without having to log into Dev Center. These APIs also enable you to visualize and report on your data using new Dev Center Power BI Connector. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2d0bad0acac046aea868a5d900c2a516"" />",https://s.ch9.ms/Events/Build/2016/P505
88,Bringing Desktop Apps to the UWP Using Desktop App Converter,"David Tepper, Avneet Singh","Enabling existing desktop applications (Win32, .NET, etc.) to become part of the Universal Windows Platform (UWP) ecosystem is a key part of the Windows 10 vision. This session will cover the technologies that will enable you to convert your existing desktop application to a UWP app. We??l demonstrate how to use the Desktop App Converter and Desktop Conversion extensions to take advantage of UWP features to enhance your app. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0fe14e4a84ae4503bac1a5d900c2a50c"" />",https://s.ch9.ms/Events/Build/2016/P504
89,App Feedback: Connect with Your Customers,"Chris Tulip, Stuart Hargreaves","App Feedback gives you a new channel for hearing from your customers. Learn how to add an option for your customers so they can submit, upvote, and comment on feedback about your app. Everything your customers submit is available in Dev Center, where you can analyze this information through sorting and filtering. We'll also show how to engage with those customers through email, discussions in the Feedback Hub, and mark feedback as fixed or implemented. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:ed28d11fbce14c3aa7efa5d900c2a4fc"" />",https://s.ch9.ms/Events/Build/2016/P503
90,App Flighting and Beta Testing in the Windows Store,"Jonathan Garrigues, Beth Anne Katz","Learn how Windows Store allows you to do testing in production using package flighting -- delivering different binaries for the same app to different groups of people. Also learn about new features currently in development for limiting which users can see and acquire an app, how quickly package updates are rolled out, and letting customers opt-in to receive beta versions of an app. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:3b69853cea294334b898a5d900c2a4f2"" />",https://s.ch9.ms/Events/Build/2016/P502
91,Monetize Your App Using Windows Store Monetization Platform,"Matt Sullivan, Kiran Bangalore","Learn what's new with monetization in Dev Center and the SDK. We'll show a hands on coding walkthrough adding banner and interstitial ads into a C&#43;&#43; app, but note that the same concepts apply to those writing in C#, JavaScript, and even Visual Basic. The video also covers affiliate ads and other future revenue options under development. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:2d7f6e0323b94cf893a8a5d900c2a4d0"" />",https://s.ch9.ms/Events/Build/2016/P501
92,UI Test Automation for Browsers and Apps Using the WebDriver Standard,"Yosef Durr, Gopinath Chigakkari","Looking for an update on UI Test Automation? This session covers both Browser and App testing. Great news for Windows application testing! We are launching a new UI test service based on the WebDriver standard. We'll explain why we??e adopting the WebDriver standard for application testing and show a demo using this service. We also cover how to run web application tests targeting multiple browsers using Selenium. And we??l we give you a glimpse on how to execute tests continuously in CI/RM. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:47650f1060494763917ba5d900c2a49d"" />",https://s.ch9.ms/Events/Build/2016/P499
93,Migrating Silverlight Windows Phone Apps to the Universal Windows Platform,"Lifeng Ge, Ricardo Villalobos","In this session, you will learn how to use the Mobilize.NET migration tool to convert Windows Phone Silverlight applications to the Universal Windows Platform. In addition to the automated process, we will share best practices and techniques to address some of the unique patterns that we have identified after working with partners in different industries. Also, we will give you an introduction to the community repository of migration mappings, and how you can contribute to this effort. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:0f33b94513a74c3fa889a5d900c2a466"" />",https://s.ch9.ms/Events/Build/2016/P498
94,Introduction to Building Accessible UWP Apps,Sean Hayes,"In this introduction we will cover the basic considerations for making your applications accessible to the widest set of users, showing how you can work with the Windows UI Automation framework and respect user settings in a XAML application. Will cover working with automation properties and events, using XAML in a way that the automation framework can understand, and working with the AccessibilitySettings class using a custom visual state trigger. <img src=""http://m.webtrends.com/dcs1wotjh10000w0irc493s0e_6x1g/njs.gif?dcssip=channel9.msdn.com&amp;dcsuri=https://s.ch9.ms/Events/Build/2016/RSS&amp;WT.dl=0&amp;WT.entryid=Session:RSSView:6ce0a65fad1a47aa8c90a5d900c2a45b"" />",https://s.ch9.ms/Events/Build/2016/P497
